_TYPE_  X1        X2        X3        X4        X5        X6        X7        X8
MEAN    0.313544  0.757588  3.354687  1.137500  0.508394  0.755000  1.495000  5.056875
STD     0.126765  0.101748  2.051235  0.420963  0.063846  0.655414  1.178294  2.068820
N       320       320       320       320       320       320       320       320
COV     0.016069  0.006183  0.033464  0.002353 -0.002755 -0.030210 -0.086770 -0.091280
COV     0.006183  0.010353  0.034056  0.001675 -0.001772 -0.024046 -0.058966 -0.066631
COV     0.033464  0.034056  4.207564  0.343115 -0.025018 -0.331983 -0.775118 -0.741020
COV     0.002353  0.001675  0.343115  0.177210 -0.001377 -0.011191 -0.090470 -0.131826
COV    -0.002755 -0.001772 -0.025018 -0.001377  0.004076  0.019510  0.041064  0.055360
COV    -0.030210 -0.024046 -0.331983 -0.011191  0.019510  0.429567  0.472063  0.775828
COV    -0.086770 -0.058966 -0.775118 -0.090470  0.041064  0.472063  1.388376  1.795144
COV    -0.091280 -0.066631 -0.741020 -0.131826  0.055360  0.775828  1.795144  4.280015

