  _name_	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20
  x1	1.0000
  x2	.5101      1.0000
  x3	.2399       .2961      1.0000
  x4	.4226       .4068       .3685      1.0000
  x5	.3072       .2321       .4038       .3468      1.0000
  x6	.2857       .3357       .2713       .3415       .3384     1.0000
  x7	.3944       .3925       .5351       .4253       .4889      .3916      1.0000 
  x8	.4290       .4831       .3781       .4141       .3030      .2567       .4512      1.0000
  x9	.4332       .4406       .3398       .4232       .2221      .2735       .4099       .5357      1.0000
  x10	.2586       .2838       .2578       .2959       .1902      .2456       .3240       .3263       .3568      1.0000
  x11	.5026       .4720       .3289       .3941       .3389      .3468       .4483       .5869       .5288       .3900      1.0000 
  x12	.3939       .4094       .2785       .4233       .2571      .3277       .4287       .4763       .4246       .3326       .5295      1.0000    
  x13	.3964       .4320       .2931       .3513       .3144      .2769       .3789       .4330       .3711       .2884       .4714       .3181      1.0000   
  x14	.4082       .3668       .3458       .4859       .4268      .4180       .4776       .3433       .3573       .2675       .4473       .4130       .4103      1.0000        
  x15	.5159       .4884       .3984       .6024       .3366      .3618       .4855       .5654       .5191       .3907       .5491       .5204       .4421       .5180      1.0000
  x16	.4688       .4827       .3818       .4358       .2724      .3096       .4122       .5343       .5487       .4276       .5980       .5342       .4014       .4358       .6510      1.0000
  x17	.3978       .3051       .4320       .4598       .5458      .3681       .5083       .3571       .3531       .3152       .3826       .4116       .3069       .4052       .5232       .4542      1.0000       
  x18	.3560       .4606       .3516       .4078       .3051      .2700       .4141       .4745       .4788       .3513       .5415       .4279       .5024       .3908       .5202       .5087       .3483      1.0000
  x19	.3879       .3397       .3791       .3637       .2610      .2279       .4425       .4513       .4287       .4173       .4511       .3790       .4566       .3747       .5470       .5410       .4615       .4835      1.0000        
  x20	.3803       .3256       .2935       .5295       .3005      .4050       .4480       .4367       .4118       .2963       .4519       .5119       .3527       .5034       .5599       .4908       .3964       .4256       .4604      1.0000          


