FEB	FArch	FSS	FA	FPES	FMeds	FLaw	FKRS	FBE	FET	FTRS	FCL	FS	uniID
1	1	7	9	1	8	0	19	3	1	4	3	0	1
0	2	3	18	13	6	0	19	2	2	0	10	0	2
7	4	9	13	14	2	3	7	0	8	1	14	2	3
21	7	7	2	6	1	3	10	1	0	0	8	1	4
8	2	4	0	0	3	1	9	0	0	1	6	0	5
3	4	14	1	24	4	1	4	0	5	0	7	0	6
5	3	7	0	10	3	0	22	0	0	0	1	3	7
17	0	13	3	5	5	0	0	0	0	0	3	0	8
0	1	6	20	12	0	1	18	3	1	1	0	0	9
0	3	2	28	8	0	2	11	1	0	0	4	1	10
1	4	6	13	1	4	4	8	0	0	0	0	0	11
14	2	6	6	3	1	0	0	0	0	5	15	0	12
11	2	3	4	2	5	1	2	0	0	3	6	23	13
7	0	15	3	15	4	0	3	0	2	1	6	1	14
7	4	10	0	4	7	0	2	0	0	1	5	1	15
1	9	16	5	11	4	2	5	15	1	8	3	0	16
1	4	9	18	3	0	6	22	1	0	1	4	4	17
0	0	3	17	9	0	4	20	2	0	2	1	22	18
2	3	6	7	11	1	0	7	0	2	1	1	5	19
22	3	4	12	13	3	0	6	0	1	4	17	3	20
6	4	5	0	14	3	0	3	0	0	6	9	7	21
9	0	6	3	2	5	0	0	0	1	3	9	5	22
4	2	13	1	3	5	2	1	0	1	0	8	1	23
2	4	15	1	3	6	0	3	1	1	0	0	0	24
0	4	7	10	7	2	3	12	1	0	0	5	0	25
0	2	4	3	2	3	3	17	0	1	4	5	4	26
0	5	2	7	13	2	0	5	0	18	5	3	10	27
6	1	6	9	0	6	1	0	0	4	0	6	0	28
7	0	22	5	1	3	0	0	0	0	0	6	1	29
16	0	13	3	11	5	0	0	0	7	1	12	16	30
28	0	7	1	12	5	2	3	0	10	1	3	0	31
11	0	14	1	4	7	3	2	0	2	0	4	0	32
0	4	10	12	5	8	0	7	1	3	1	5	0	33
2	4	7	12	12	6	0	17	2	0	1	8	1	34
3	4	10	12	7	5	2	7	3	1	0	7	5	35
9	2	6	4	6	1	1	6	0	3	0	2	0	36
6	2	11	5	5	7	2	3	0	1	0	6	17	37
2	1	13	10	13	5	2	3	0	6	2	8	19	38
27	1	4	3	26	5	1	9	0	0	0	0	0	39
21	0	6	1	4	5	1	2	0	1	5	1	0	40
0	5	8	3	0	7	1	20	2	5	1	4	0	41
0	0	13	5	7	8	0	8	2	2	0	4	0	42
3	2	22	6	2	12	2	11	2	0	1	5	0	43
4	5	9	4	10	7	0	4	0	2	1	2	0	44
5	9	13	8	10	5	0	2	0	3	2	5	2	45
14	5	5	11	27	1	0	6	0	1	0	3	27	46
27	1	3	1	11	3	5	2	0	1	4	10	3	47
28	0	4	2	3	3	5	2	0	0	3	8	1	48
0	1	4	16	3	2	0	13	6	1	0	8	0	49
2	3	8	8	6	5	1	11	4	5	0	1	1	50
1	3	13	12	7	11	3	7	3	4	0	3	0	51
13	3	9	3	5	6	2	4	1	0	0	5	0	52
1	1	15	6	2	6	0	0	0	0	0	0	0	53
14	3	5	7	8	2	0	2	0	0	4	5	3	54
17	2	0	9	3	0	1	0	0	0	7	20	0	55
13	2	2	12	2	0	0	10	0	3	9	11	0	56
0	1	10	5	2	3	0	4	2	0	0	3	0	57
1	0	13	8	4	6	2	5	4	5	0	1	2	58
5	0	11	19	8	5	2	7	4	3	1	11	0	59
23	0	8	10	16	1	8	0	3	1	1	14	0	60
21	0	4	1	16	5	2	1	0	1	5	9	0	61
26	0	5	3	18	1	2	0	0	2	4	10	0	62
20	1	3	3	8	1	0	5	1	18	1	12	0	63
6	5	3	9	2	1	1	10	1	2	0	3	15	64
1	0	8	10	10	4	1	2	2	7	9	2	2	65
2	0	7	10	4	6	4	4	2	5	0	8	0	66
1	0	11	14	19	3	4	7	7	9	6	7	0	67
18	0	7	9	7	4	11	0	0	0	8	6	0	68
17	1	4	1	5	2	8	1	0	0	7	11	0	69
20	1	12	6	15	3	0	1	0	9	0	4	0	70
4	1	5	4	6	1	0	7	0	20	1	6	0	71
4	2	0	4	18	1	1	16	0	6	1	3	11	72

